Name,CPU,CPU_Type ,CPU_GEN ,GPU ,"GPU_Type(builtin_0,separate_1)",GPU_Capacity ,Screen_Size,Screen_Resolution ,"RAM(DDR3,DDr4,DDR5) ",RAM_Capacity ,Hard 1,Hard 2,"Hard_Type (HDD,SSD,M.2)",Body_Type,Body_Status,Price
ACER,i 0,U,10,NVIDIA MX 330,1,2 GB,15.6,HD,DDR4,8 GB,512 GB,0 GB,M.2,Plastic,Very good,455
LENOVO,i 7,U,6,AMD Radeon R5,1,2 GB,15.6,HD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Very good,370
ASUS,i 5,U,7,NVIDIA 920M,1,2 GB,15.6,HD,DDR4,8 GB,128 GB,0 GB,SSD,Plastic,Not bad ,320
HP,Ryzen 3,U,3,AMD R5,1,2 GB,15.6,HD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Good,290
HP,i 5,U,8,AMD Radeon R5 m330 ,1,2 GB,14.0,HD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Good,350
HP,i 7,U,10,GTX 1650 Ti,1,6 GB,15.6,HD,DDR4,16 GB,1024 GB,0 GB,SSD,Aluminum,Very good,1190
LENOVO,i 3 ,U,9,AMD Radeon R5 m530 ,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Very good,280
ASUS,i 7,U,7,NVIDIA 920 MX,1,2 GB,14.0,HD,DDR4,8 GB,512 GB,0 GB,SSD,Aluminum,Good,345
DELL,i 7,U,6,NVIDIA 930 MX,1,2 GB,14.0,HD,DDR4,16 GB,512 GB,0 GB,M.2,Plastic,Good,460
DELL,i 3,U,3,Radeon 7670M,1,2 GB,15.6,HD,DDR3,4 GB,512 GB,0 GB,HDD,Plastic,Not bad ,220
LENOVO,i 3,U,5,intel HD,0,2 GB,15.6,HD,DDR3,4 GB,128 GB,0 GB,SSD,Aluminum,Very good,270
HP,i 3,U,3,Radeon 7600M,1,2 GB,15.6,HD,DDR3,4 GB,128 GB,0 GB,SSD,Aluminum,Good,220
ACER,i 3,U,6,intel HD,0,2 GB,15.6,HD,DDR3,8 GB,256 GB,0 GB,SSD,Plastic,Good,310
LENOVO,i 3,U,5,intel HD,0,2 GB,15.6,HD,DDR3,4 GB,512 GB,0 GB,HDD,Plastic,Good,235
LENOVO,i 3,U,6,intel HD,0,2 GB,15.6,HD,DDR4,4 GB,128 GB,0 GB,SSD,Aluminum,Very good,260
DELL,i 7,U,8,intel UHDGraphics,0,3 GB,13.3,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Very good,450
DELL,i 7,U,6,NVIDIA 940MX,1,6 GB,14.0,HD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,490
LENOVO,i 5,U,5,intel HD,0,2 GB,14.0,HD,DDR3,8 GB,512 GB,0 GB,HDD,Plastic,Not bad ,295
LENOVO,Ryzen 3,G,4,intel UHDGraphics,0,2 GB,14.0,FHD,DDR4,4 GB,128 GB,0 GB,SSD,Aluminum,Very good,350
TOSHIBA,i 5,U,3,Radeon 7600M,1,2 GB,15.6,HD,DDR3,4 GB,512 GB,0 GB,HDD,Plastic,Good,250
DELL,i 3,U,3,Radeon 7670M,1,2 GB,15.6,HD,DDR3,4 GB,128 GB,0 GB,SSD,Plastic,Not bad ,240
DELL,i 7,U,6,NVIDIA 930 MX,1,2 GB,14.0,HD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,395
HP,i 3,U,3,Radeon 7600M,1,2 GB,15.6,HD,DDR3,4 GB,512 GB,0 GB,HDD,Aluminum,Good,200
ASUS,i 5,U,8,NVIDIA 930 MX,1,2 GB,15.6,HD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,480
LENOVO,i 3,U,5,intel HD,0,2 GB,15.6,HD,DDR3,4 GB,512 GB,0 GB,HDD,Aluminum,Very good,250
HP,i 3,U,5,intel HD,0,2 GB,15.6,HD,DDR3,4 GB,128 GB,0 GB,SSD,Plastic,Good,250
